iteration,collectionName,requestName,method,url,status,code,responseTime,responseSize,executed,failed,skipped,totalAssertions,executedCount,failedCount,skippedCount
"1","Sendinblue","Get all the contacts","GET","https://api.sendinblue.com/v3/contacts","OK","200","367","3187","Verify response headers, Validate response speed, Response status code is 200 OK, Response body is an array, Response body is not empty, Response body has the required fields",,,"6","6","0","0"
"1","Sendinblue","Get a contact's details","GET","https://api.sendinblue.com/v3/contacts/omobolaji92@gmail.com","OK","200","549","268","Verify response headers, Validate response speed, Response status code is 200 OK, Response body is an object, Response body is an object, Response body is not empty, Response body attributes has the required fields",,,"7","7","0","0"
"1","Sendinblue","Delete a contact","DELETE","https://api.sendinblue.com/v3/contacts/106","No Content","204","998","0","Verify response headers, Validate response speed, Response status code is 204 No Content, Response is empty",,,"4","4","0","0"
"1","Sendinblue","Get email campaigns' statistics for a contact","GET","https://api.sendinblue.com/v3/contacts/64/campaignStats","OK","200","371","2","Verify response headers, Validate response speed, Response status code is 200 OK, Response is empty",,,"4","4","0","0"
"1","Sendinblue","List all attributes","GET","https://api.sendinblue.com/v3/contacts/attributes","OK","200","296","762","Verify response headers, Validate response speed, Response status code is 200 OK, Response body is an array, Response body is not empty",,,"5","5","0","0"
"1","Sendinblue","Send a transactional email","POST","https://api.sendinblue.com/v3/smtp/email","Created","201","286","64","Verify response headers, Validate response speed, Response status code is 200 Created, Response has the Id field, Response body is an object, Response body is not empty",,,"6","6","0","0"
"1","Sendinblue","Get the list of transactional emails on the basis of allowed filters","GET","https://api.sendinblue.com/v3/smtp/emails?messageId=<202308121611.87242630006@smtp-relay.mailin.fr>","OK","200","471","2","Verify response headers, Validate response speed, Response status code is 200 OK, Response body is an array",,,"4","4","0","0"
"1","Sendinblue","Get the personalized content of a sent transactional email","GET","https://api.sendinblue.com/v3/smtp/emails/ad5b1317-e2db-46de-b6d1-bad510dd6111?messageId=<202308121611.87242630006@smtp-relay.mailin.fr>","OK","200","506","291","Verify response headers, Validate response speed, Response status code is 200 OK, Response body is an array, Response body is not empty, Response body has the required fields",,,"6","6","0","0"
"1","Sendinblue","Get the list of email templates","GET","https://api.sendinblue.com/v3/smtp/templates","OK","200","336","20176","Verify response headers, Validate response speed, Response status code is 200 OK, Response body is an array, Response body is not empty, Response body has the required fields",,,"6","6","0","0"
"1","Sendinblue","Returns the template information","GET","https://api.sendinblue.com/v3/smtp/templates/1","OK","200","333","20170","Verify response headers, Validate response speed, Response status code is 200 OK, Response body is an array, Response body is not empty, Response body has the required fields",,,"6","6","0","0"
"1","Sendinblue","Get your transactional email activity aggregated over a period of time","GET","https://api.sendinblue.com/v3/smtp/statistics/aggregatedReport","OK","200","338","207","Verify response headers, Validate response speed, Response status code is 200 OK, Response body is an array, Response body is not empty, Response body has the required fields",,,"6","6","0","0"
"1","Sendinblue","Get your transactional email activity aggregated per day","GET","https://api.sendinblue.com/v3/smtp/statistics/reports","OK","200","391","783","Verify response headers, Validate response speed, Response status code is 200 OK, Response body is an array, Response body is not empty, Response body has the required fields",,,"6","6","0","0"
"1","Sendinblue","Get all your transactional email activity (unaggregated events)","GET","https://api.sendinblue.com/v3/smtp/statistics/events","OK","200","475","30282","Verify response headers, Validate response speed, Response status code is 200 OK, Response body is an array, Response body is not empty, Response body has the required fields",,,"6","6","0","0"
"1","Sendinblue","Get the list of blocked or unsubscribed transactional contacts","GET","https://api.sendinblue.com/v3/smtp/blockedContacts","OK","200","392","360","Verify response headers, Validate response speed, Response status code is 200 OK, Response body is an array, Response body is not empty, Response body has the required fields",,,"6","6","0","0"
"1","Sendinblue","Get the list of blocked domains","GET","https://api.sendinblue.com/v3/smtp/blockedDomains","OK","200","802","82","Verify response headers, Validate response speed, Response status code is 200 OK, Response body is an array, Response body is not empty, Response body has the required fields",,,"6","6","0","0"
"1","Sendinblue","Add a new domain to the list of blocked domains","POST","https://api.sendinblue.com/v3/smtp/blockedDomains","Created","201","551","2","Verify response headers, Validate response speed, Response status code is 201 Created, Response body is an object, Response is empty",,,"5","5","0","0"
"1","Sendinblue","Unblock an existing domain from the list of blocked domains","DELETE","https://api.sendinblue.com/v3/smtp/blockedDomains/example.com","No Content","204","339","0","Verify response headers, Validate response speed, Response status code is 204 No Content, Response is empty",,,"4","4","0","0"
"1","Sendinblue","Delete hardbounces","POST","https://api.sendinblue.com/v3/smtp/deleteHardbounces","OK","200","605","2","Verify response headers, Validate response speed, Response status code is 200 OK, Response is empty",,,"4","4","0","0"
"1","Sendinblue","Get the list of all the events for the received emails.","GET","https://api.sendinblue.com/v3/inbound/events","OK","200","407","13","Verify response headers, Validate response speed, Response status code is 200 OK, Response body is an array, Response body is not empty, Response body has the required fields",,,"6","6","0","0"
"1","Sendinblue","Get your SMS activity aggregated over a period of time","GET","https://api.sendinblue.com/v3/transactionalSMS/statistics/aggregatedReport","OK","200","379","2","Verify response headers, Validate response speed, Response status code is 200 OK, Response body is an object, Response body is empty",,,"5","5","0","0"
"1","Sendinblue","Get your SMS activity aggregated per day","GET","https://api.sendinblue.com/v3/transactionalSMS/statistics/reports","OK","200","306","2","Verify response headers, Validate response speed, Response status code is 200 OK, Response body is an object, Response body is empty",,,"5","5","0","0"
"1","Sendinblue","Get all your SMS activity (unaggregated events)","GET","https://api.sendinblue.com/v3/transactionalSMS/statistics/events","OK","200","302","2","Verify response headers, Validate response speed, Response status code is 200 OK, Response body is an object, Response body is empty",,,"5","5","0","0"
"1","Sendinblue","Return all the processes for your account","GET","https://api.sendinblue.com/v3/processes","OK","200","418","187","Verify response headers, Validate response speed, Response status code is 200 OK, Response body is an object, Response body is not empty, Response body has the required fields",,,"6","6","0","0"
"1","Sendinblue","Return the informations for a process","GET","https://api.sendinblue.com/v3/processes/1","OK","200","290","53","Verify response headers, Validate response speed, Response status code is 200 OK, Response body is an object, Response body is not empty, Response body has the required fields",,,"6","6","0","0"
"1","Sendinblue","Get your account information, plan and credits details","GET","https://api.sendinblue.com/v3/account","OK","200","340","1170","Verify response headers, Validate response speed, Response status code is 200 OK, Response body is an object, Response body is not empty, Response body has the required fields",,,"6","6","0","0"
"1","Sendinblue","Create a new sender","POST","https://api.sendinblue.com/v3/senders","Created","201","816","44","Verify response headers, Validate response speed, Response status code is 200 Created, Response has the Id field, Response body is an object, Response body is not empty, Response body has the required fields",,,"7","7","0","0"
"1","Sendinblue","Get the list of all your senders","GET","https://api.sendinblue.com/v3/senders","OK","200","427","714","Verify response headers, Validate response speed, Response status code is 200 OK, Response body is an object, Response body is not empty, Response body has the required fields",,,"6","6","0","0"
"1","Sendinblue","Get all the dedicated IPs for your account","GET","https://api.sendinblue.com/v3/senders/ips","OK","200","362","10","Verify response headers, Validate response speed, Response status code is 200 OK, Response body is an object, Response body is not empty, Response body has the required fields",,,"6","6","0","0"
"1","Sendinblue","Get all the dedicated IPs for a sender","GET","https://api.sendinblue.com/v3/senders/57/ips","OK","200","294","10","Verify response headers, Validate response speed, Response status code is 200 OK, Response body is an object, Response body is not empty, Response body has the required fields",,,"6","6","0","0"
"1","Sendinblue","Update a sender","PUT","https://api.sendinblue.com/v3/senders/57","No Content","204","821","0","Verify response headers, Validate response speed, Response status code is 204 No Content, Response is empty",,,"4","4","0","0"
"1","Sendinblue","Delete a sender","DELETE","https://api.sendinblue.com/v3/senders/57","No Content","204","451","0","Verify response headers, Validate response speed, Response status code is 204 No Content, Response is empty",,,"4","4","0","0"
"1","Sendinblue","Test Clean-up","GET","https://api.sendinblue.com/v3","OK","200","1316","1535","Verify response headers, Validate response speed, Response status code is 200 OK",,,"3","3","0","0"
